config,distance,runtime,mean,median,reschedule,vectorize,parallel,tile
rs_on_vec_on_par_on_tile_16,3,0.959669,1.1634702,1.162456,on,on,on,16
rs_on_vec_on_par_on_tile_32,4,0.896127,1.096714,0.976764,on,on,on,32
rs_on_vec_on_par_on_tile_32,4,0.932386,1.096714,0.976764,on,on,on,32
rs_on_vec_on_par_on_tile_32,4,1.290601,1.096714,0.976764,on,on,on,32
rs_on_vec_on_par_on_tile_32,4,0.976764,1.096714,0.976764,on,on,on,32
rs_on_vec_on_par_on_tile_32,4,1.387692,1.096714,0.976764,on,on,on,32
rs_on_vec_on_par_on_tile_64,4,1.336065,1.2257586,1.267724,on,on,on,64
rs_on_vec_on_par_on_tile_64,4,0.928239,1.2257586,1.267724,on,on,on,64
rs_on_vec_on_par_on_tile_64,4,1.209922,1.2257586,1.267724,on,on,on,64
rs_on_vec_on_par_on_tile_64,4,1.267724,1.2257586,1.267724,on,on,on,64
rs_on_vec_on_par_on_tile_64,4,1.386843,1.2257586,1.267724,on,on,on,64
